date_received,product,subproduct,issue,subissue,company_public_response,company_name,state,zip_code,tags,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,complaint_id,state_name,zip_code_population,state_population,median_income_zip_code,median_income_state
2/4/2022,Mortgage,VA mortgage,Closing on a mortgage,,,"LD Holdings Group, LLC",HI,96813,Servicemember,Phone,2/20/2022,Closed with explanation,TRUE,5188257,Hawaii,25219,1422029,74355,78084
3/23/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,KEYCORP,ME,4294,Older American,Phone,3/24/2022,Closed with explanation,TRUE,5362315,Maine,4005,1332813,48056,55425
6/23/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",AK,99567,Older American,Web,7/27/2022,In progress,TRUE,5701161,Alaska,9181,738516,111161,76715
6/3/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",WV,25443,,Phone,6/3/2022,Closed with explanation,TRUE,5631165,West Virginia,7913,1829054,95117,44921
1/3/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,Ocwen Financial Corporation,NH,3745,Older American,Phone,1/3/2022,Closed with explanation,TRUE,5064776,New Hampshire,1546,1343622,80057,74057
4/11/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Freedom Mortgage Company,NM,87112,,Referral,4/11/2022,Closed with explanation,TRUE,5433088,New Mexico,42041,2092434,50831,48059
3/21/2022,Mortgage,VA mortgage,Trouble during payment process,,,PRIMARY RESIDENTIAL MORTGAGE,NM,87107,"Older American, Servicemember",Phone,3/22/2022,Closed with explanation,TRUE,5348833,New Mexico,30828,2092434,48202,48059
6/25/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,NATIONSTAR MORTGAGE,HI,96734,,Web,6/25/2022,Closed with explanation,TRUE,5708204,Hawaii,50386,1422029,101605,78084
3/24/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TRUIST FINANCIAL CORPORATION,KS,66044,,Referral,3/25/2022,Closed with explanation,TRUE,5368126,Kansas,28701,2908776,38496,57422
1/17/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,RUSHMORE LOAN MANAGEMENT SERVICES LLC,ME,4955,,Phone,1/17/2022,Closed with explanation,TRUE,5115882,Maine,1557,1332813,51417,55425
1/26/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,Ocwen Financial Corporation,NE,68123,,Referral,1/28/2022,Closed with explanation,TRUE,5161738,Nebraska,31990,1904760,79234,59116
1/17/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,RUSHMORE LOAN MANAGEMENT SERVICES LLC,ME,4955,,Postal mail,1/18/2022,Closed with explanation,TRUE,5120726,Maine,1557,1332813,51417,55425
