date_received,product,subproduct,issue,subissue,company_public_response,company_name,state,zip_code,tags,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,complaint_id,state_name,zip_code_population,state_population,median_income_zip_code,median_income_state
6/15/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,M&T BANK CORPORATION,NM,87552,,Postal mail,6/15/2022,Closed with explanation,TRUE,5672612,New Mexico,3963,2092434,34849,48059
1/11/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Freedom Mortgage Company,WV,25403,,Postal mail,1/11/2022,Closed with explanation,TRUE,5092103,West Virginia,12774,1829054,73024,44921
3/16/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,Company believes complaint represents an opportunity for improvement to better serve consumers,NATIONSTAR MORTGAGE,IA,50266,,Web,3/16/2022,Closed with explanation,TRUE,5329678,Iowa,28917,3132499,76124,58580
3/11/2022,Mortgage,Other type of mortgage,Applying for a mortgage or refinancing an existing mortgage,,,21ST MORTGAGE CORP.,NM,87575,,Web,3/11/2022,Closed with explanation,TRUE,5318353,New Mexico,775,2092434,,48059
3/4/2022,Mortgage,Conventional home mortgage,Closing on a mortgage,,,"PEOPLE'S UNITED BANK, NATIONAL ASSOCIATION",VT,58750,,Web,3/22/2022,Closed with explanation,TRUE,5285992,North Dakota,535,752201,80833,63473
3/30/2022,Mortgage,Other type of mortgage,Closing on a mortgage,,Company believes it acted appropriately as authorized by contract or law,"AMA Advisors, LLC.",HI,96734,Servicemember,Web,3/30/2022,Closed with explanation,TRUE,5384062,Hawaii,50386,1422029,101605,78084
3/6/2022,Mortgage,FHA mortgage,Closing on a mortgage,,Company believes complaint represents an opportunity for improvement to better serve consumers,AMERISAVE MORTGAGE CORPORATION,KS,66223,,Web,3/6/2022,Closed with monetary relief,TRUE,5291933,Kansas,25468,2908776,100142,57422
2/21/2022,Mortgage,FHA mortgage,Closing on a mortgage,,,"Rocket Mortgage, LLC",ME,4769,,Web,2/21/2022,Closed with explanation,TRUE,5243535,Maine,9162,1332813,37401,55425
6/2/2022,Mortgage,Other type of mortgage,Struggling to pay mortgage,,,Ocwen Financial Corporation,ID,83634,,Web,6/21/2022,Closed with explanation,TRUE,5623510,Idaho,27380,1687809,66935,53089
4/20/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LAKEVIEW LOAN SERVICING, LLC",HI,96792,,Web,4/20/2022,Closed with explanation,TRUE,5475735,Hawaii,50127,1422029,64059,78084
4/1/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,RoundPoint Mortgage Servicing Corporation,CT,6410,,Web,5/2/2022,Closed with explanation,TRUE,5393975,Connecticut,29138,3581504,112814,76106
3/9/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,,"MONEY SOURCE, THE",NM,87402,,Web,3/9/2022,Closed with explanation,TRUE,5304174,New Mexico,9854,2092434,72361,48059
6/1/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,21ST MORTGAGE CORP.,NM,87031,,Web,6/1/2022,Closed with explanation,TRUE,5619871,New Mexico,44451,2092434,48084,48059
5/17/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",ID,83622,,Web,5/17/2022,Closed with explanation,TRUE,5570940,Idaho,2257,1687809,55000,53089
1/11/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,,"MONEY SOURCE, THE",SD,57701,,Web,1/11/2022,Closed with explanation,TRUE,5092648,South Dakota,45670,864289,44895,56499
1/25/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Freedom Mortgage Company,HI,96766,,Web,1/25/2022,Closed with explanation,TRUE,5148117,Hawaii,18272,1422029,78876,78084
6/25/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company believes it acted appropriately as authorized by contract or law,American Financial Network Inc.,CT,6239,"Older American, Servicemember",Web,6/25/2022,Closed with explanation,TRUE,5708118,Connecticut,11406,3581504,53718,76106
1/29/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BANK OF THE WEST,IA,50021,,Web,1/29/2022,Closed with explanation,TRUE,5163076,Iowa,27406,3132499,81186,58580
3/18/2022,Mortgage,FHA mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Ocwen Financial Corporation,MT,59101,,Web,3/18/2022,Closed with explanation,TRUE,5339127,Montana,41440,1041732,48569,52559
5/2/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,Ocwen Financial Corporation,KS,67114,"Older American, Servicemember",Web,5/3/2022,Closed with explanation,TRUE,5530226,Kansas,21586,2908776,52903,57422
3/15/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"BSI Financial Holdings, Inc.",CT,6450,,Web,3/15/2022,Closed with explanation,TRUE,5327462,Connecticut,34884,3581504,61031,76106
3/16/2022,Mortgage,Other type of mortgage,Trouble during payment process,,,Selene Holdings LLC,CT,66060,,Web,3/16/2022,Closed with explanation,TRUE,5328782,Kansas,1383,2908776,60391,57422
4/14/2022,Mortgage,FHA mortgage,Trouble during payment process,,,"BSI Financial Holdings, Inc.",WV,26037,,Web,4/14/2022,Closed with explanation,TRUE,5446309,West Virginia,6457,1829054,52404,44921
5/14/2022,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Specialized Loan Servicing Holdings LLC,HI,96754,,Web,5/14/2022,Closed with explanation,TRUE,5561375,Hawaii,3112,1422029,87179,78084
4/7/2022,Mortgage,FHA mortgage,Trouble during payment process,,,"Rocket Mortgage, LLC",CT,67020,,Web,4/7/2022,Closed with explanation,TRUE,5420170,Kansas,1692,2908776,57868,57422
3/2/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,BANK OF HAWAII CORPORATION,HI,96740,,Web,3/2/2022,Closed with explanation,TRUE,5278103,Hawaii,39694,1422029,76296,78084
3/1/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"Caliber Home Loans, Inc.",AK,99654,,Web,3/1/2022,Closed with explanation,TRUE,5271649,Alaska,62135,738516,80471,76715
3/30/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,NATIONSTAR MORTGAGE,NM,88130,,Web,4/26/2022,Closed with explanation,TRUE,5385774,New Mexico,17696,2092434,40095,48059
1/13/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,FIFTH THIRD FINANCIAL CORPORATION,KS,67037,,Web,1/13/2022,Closed with explanation,TRUE,5096058,Kansas,28364,2908776,71673,57422
6/3/2022,Mortgage,VA mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Freedom Mortgage Company,HI,96744,,Web,6/3/2022,Closed with explanation,TRUE,5630084,Hawaii,51692,1422029,106174,78084
3/5/2022,Mortgage,FHA mortgage,Trouble during payment process,,,NATIONSTAR MORTGAGE,KS,66062,,Web,3/23/2022,Closed with explanation,TRUE,5289853,Kansas,80489,2908776,94223,57422
1/15/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"BSI Financial Holdings, Inc.",MT,59718,,Web,1/15/2022,Closed with explanation,TRUE,5113203,Montana,35923,1041732,63579,52559
4/20/2022,Mortgage,FHA mortgage,Trouble during payment process,,,OCEANSIDE MORTGAGE COMPANY,RI,2891,Older American,Web,4/20/2022,Closed with monetary relief,TRUE,5474313,Rhode Island,21085,1056611,64778,63296
1/24/2022,Mortgage,FHA mortgage,Trouble during payment process,,Company believes complaint represents an opportunity for improvement to better serve consumers,"MCCUE MORTGAGE COMPANY, THE",CT,6355,,Web,1/24/2022,Closed with non-monetary relief,TRUE,5141945,Connecticut,12432,3581504,92308,76106
2/1/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",ID,83716,,Web,2/14/2022,Closed with explanation,TRUE,5169231,Idaho,17076,1687809,91658,53089
2/1/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,NATIONSTAR MORTGAGE,NH,3748,,Web,2/1/2022,Closed with explanation,TRUE,5169149,New Hampshire,4864,1343622,83194,74057
3/16/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,BANCO POPULAR DE PUERTO RICO,KS,66218,Servicemember,Web,3/16/2022,Closed with explanation,TRUE,5330270,Kansas,8296,2908776,127358,57422
3/28/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,"Rocket Mortgage, LLC",ID,83686,,Web,3/28/2022,Closed with explanation,TRUE,5376858,Idaho,47628,1687809,51429,53089
5/18/2022,Mortgage,VA mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company believes it acted appropriately as authorized by contract or law,NAVY FEDERAL CREDIT UNION,CT,6333,Servicemember,Web,5/18/2022,Closed with explanation,TRUE,5577719,Connecticut,7125,3581504,119679,76106
6/11/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,RUSHMORE LOAN MANAGEMENT SERVICES LLC,VT,5401,Servicemember,Web,6/12/2022,Closed with explanation,TRUE,5660025,Vermont,28913,624977,44097,60076
4/19/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,,BANCO POPULAR DE PUERTO RICO,PR,953,,Web,4/19/2022,Closed with explanation,TRUE,5464730,Puerto Rico,71891,3386941,29146,20166
1/28/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,"Fay Servicing, LLC",NH,3087,,Web,1/28/2022,Closed with explanation,TRUE,5160366,New Hampshire,14508,1343622,133222,74057
3/4/2022,Mortgage,Reverse mortgage,Trouble during payment process,,,Novad Management Consulting LLC,IA,50309,,Web,3/4/2022,Closed with explanation,FALSE,5284818,Iowa,7008,3132499,44804,58580
5/13/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"PLANET HOME LENDING, LLC",NM,87035,,Web,5/13/2022,Closed with explanation,TRUE,5554210,New Mexico,7624,2092434,41875,48059
4/8/2022,Mortgage,VA mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Freedom Mortgage Company,WY,82009,Servicemember,Web,4/8/2022,Closed with explanation,TRUE,5424503,Wyoming,34247,581836,82840,62268
4/5/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,Home Point Financial Corporation,KS,66207,,Web,4/5/2022,Closed with explanation,TRUE,5411129,Kansas,14473,2908776,88368,57422
5/27/2022,Mortgage,VA mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Mortgage Research Center, LLC",IA,50054,Servicemember,Web,5/27/2022,Closed with explanation,TRUE,5609330,Iowa,2909,3132499,64196,58580
3/3/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"CITIZENS FINANCIAL GROUP, INC.",SD,57038,,Web,3/3/2022,Closed with explanation,TRUE,5283809,South Dakota,1580,864289,81250,56499
1/25/2022,Mortgage,VA mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Freedom Mortgage Company,ND,58201,Servicemember,Web,1/25/2022,Closed with explanation,TRUE,5147632,North Dakota,39928,752201,53067,63473
5/31/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,MT,59701,,Web,5/31/2022,Closed with monetary relief,TRUE,5615532,Montana,33646,1041732,41340,52559
1/20/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,Ocwen Financial Corporation,CT,6854,,Web,1/20/2022,Closed with explanation,TRUE,5131879,Connecticut,30975,3581504,66071,76106
2/8/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,U.S. BANCORP,KS,66611,,Phone,2/8/2022,Closed with explanation,TRUE,5199598,Kansas,10076,2908776,47793,57422
2/2/2022,Mortgage,FHA mortgage,Incorrect information on your report,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LoanCare, LLC",ID,83355,,Web,2/2/2022,Closed with explanation,TRUE,5177600,Idaho,4450,1687809,51619,53089
1/31/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BANK OF THE WEST,ID,83619,,Referral,2/1/2022,Closed with explanation,TRUE,5170926,Idaho,7748,1687809,52004,53089
5/4/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"Fay Servicing, LLC",NE,68152,Older American,Web,5/4/2022,Closed with explanation,TRUE,5540418,Nebraska,6327,1904760,68491,59116
1/7/2022,Mortgage,VA mortgage,Struggling to pay mortgage,,,GATEWAY FIRST BANK,KS,67010,Servicemember,Web,1/7/2022,Closed with explanation,TRUE,5084457,Kansas,13897,2908776,59911,57422
1/2/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,,NATIONSTAR MORTGAGE,NJ,87530,Servicemember,Web,1/2/2022,Closed with explanation,TRUE,5061948,New Mexico,1110,2092434,,48059
1/11/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,NATIONSTAR MORTGAGE,WV,24931,,Referral,1/13/2022,Closed with explanation,TRUE,5101844,West Virginia,1348,1829054,27059,44921
1/27/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,NATIONSTAR MORTGAGE,NM,87120,Older American,Web,1/27/2022,Closed with explanation,TRUE,5158080,New Mexico,62226,2092434,67154,48059
1/25/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,NATIONSTAR MORTGAGE,RI,2920,,Referral,1/26/2022,Closed with explanation,TRUE,5152449,Rhode Island,37199,1056611,57389,63296
4/7/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,Selene Holdings LLC,HI,96768,,Web,4/7/2022,Closed with explanation,TRUE,5415972,Hawaii,18155,1422029,80463,78084
1/25/2022,Mortgage,Conventional home mortgage,Closing on a mortgage,,,JPMORGAN CHASE & CO.,WY,83001,,Web,1/25/2022,Closed with explanation,TRUE,5148891,Wyoming,17145,581836,83657,62268
4/24/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,JPMORGAN CHASE & CO.,NM,87144,,Web,4/24/2022,Closed with explanation,TRUE,5489194,New Mexico,42619,2092434,69016,48059
1/11/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,JPMORGAN CHASE & CO.,WV,26040,,Referral,1/12/2022,Closed with explanation,TRUE,5100584,West Virginia,1996,1829054,37273,44921
5/31/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,JPMORGAN CHASE & CO.,WV,25143,,Referral,6/9/2022,Closed with explanation,TRUE,5651991,West Virginia,8233,1829054,43665,44921
1/4/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,JPMORGAN CHASE & CO.,ME,4260,,Web,1/4/2022,Closed with monetary relief,TRUE,5067974,Maine,5723,1332813,70081,55425
4/10/2022,Mortgage,Conventional home mortgage,Closing on a mortgage,,,"Rocket Mortgage, LLC",RI,2889,,Web,4/10/2022,Closed with explanation,TRUE,5430622,Rhode Island,27333,1056611,69744,63296
1/9/2022,Mortgage,VA mortgage,Applying for a mortgage or refinancing an existing mortgage,,,"Rocket Mortgage, LLC",KS,66611,"Older American, Servicemember",Web,1/9/2022,Closed with explanation,TRUE,5088020,Kansas,10076,2908776,47793,57422
1/20/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,RI,2886,,Referral,1/20/2022,Closed with explanation,TRUE,5132651,Rhode Island,29007,1056611,67459,63296
2/16/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,AK,99504,,Referral,2/16/2022,Closed with explanation,TRUE,5228900,Alaska,42504,738516,78508,76715
3/2/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,NE,68117,,Referral,3/7/2022,Closed with explanation,TRUE,5295267,Nebraska,8658,1904760,48819,59116
3/11/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,SD,57702,,Phone,4/9/2022,Closed with explanation,TRUE,5317621,South Dakota,34801,864289,71215,56499
1/26/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,"Credit Technology, Inc.",CT,6770,,Web,2/8/2022,Closed with explanation,TRUE,5151937,Connecticut,31654,3581504,70638,76106
1/7/2022,Mortgage,Conventional home mortgage,Closing on a mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Freedom Mortgage Company,NM,87112,,Postal mail,1/7/2022,Closed with explanation,TRUE,5084240,New Mexico,42041,2092434,50831,48059
2/23/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Freedom Mortgage Company,ID,83276,,Web,2/23/2022,Closed with explanation,TRUE,5255797,Idaho,3827,1687809,60766,53089
2/22/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Freedom Mortgage Company,KS,66221,,Web,2/22/2022,Closed with explanation,TRUE,5249877,Kansas,17455,2908776,159021,57422
4/18/2022,Mortgage,Other type of mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Freedom Mortgage Company,HI,96707,Servicemember,Web,4/18/2022,Closed with explanation,TRUE,5462577,Hawaii,47958,1422029,100739,78084
6/17/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",WV,25427,,Referral,6/28/2022,Closed with explanation,TRUE,5720512,West Virginia,13895,1829054,61076,44921
1/6/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",ME,4032,,Web,1/6/2022,Closed with explanation,TRUE,5079615,Maine,8387,1332813,80723,55425
3/10/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company believes the complaint provided an opportunity to answer consumer's questions,"Shellpoint Partners, LLC",CT,68310,,Web,3/10/2022,Closed with explanation,TRUE,5307939,Nebraska,13749,1904760,46969,59116
5/19/2022,Mortgage,FHA mortgage,Trouble during payment process,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",CT,6066,,Web,5/19/2022,Closed with explanation,TRUE,5580893,Connecticut,29210,3581504,62645,76106
1/4/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company believes the complaint provided an opportunity to answer consumer's questions,"Shellpoint Partners, LLC",RI,2904,,Phone,1/4/2022,Closed with explanation,TRUE,5067608,Rhode Island,30522,1056611,41263,63296
5/13/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",WV,25443,,Phone,5/13/2022,Closed with explanation,TRUE,5558288,West Virginia,7913,1829054,95117,44921
2/16/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,,CrossCountry Mortgage LLC,HI,96707,"Older American, Servicemember",Phone,2/17/2022,Closed with explanation,TRUE,5227662,Hawaii,47958,1422029,100739,78084
1/7/2022,Mortgage,Conventional home mortgage,Closing on a mortgage,,,ENCORE CAPITAL GROUP INC.,RI,2914,,Referral,1/7/2022,Closed with explanation,TRUE,5084350,Rhode Island,21605,1056611,51139,63296
6/23/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,"Dovenmuehle Mortgage, Inc.",NE,68123,,Web,6/23/2022,Closed with explanation,TRUE,5701933,Nebraska,31990,1904760,79234,59116
3/30/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,,"Dovenmuehle Mortgage, Inc.",NM,88012,,Web,3/30/2022,Closed with explanation,TRUE,5386915,New Mexico,29044,2092434,48667,48059
1/4/2022,Mortgage,VA mortgage,Applying for a mortgage or refinancing an existing mortgage,,,"Dovenmuehle Mortgage, Inc.",ID,83709,Servicemember,Web,1/4/2022,Closed with explanation,TRUE,5069248,Idaho,58541,1687809,72821,53089
2/3/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,Ocwen Financial Corporation,CT,66060,,Web,3/25/2022,Closed with explanation,TRUE,5182948,Kansas,1383,2908776,60391,57422
5/31/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,Ocwen Financial Corporation,WV,26201,,Web,5/31/2022,Closed with explanation,TRUE,5615443,West Virginia,19904,1829054,41981,44921
4/7/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,BANCO POPULAR DE PUERTO RICO,PR,952,,Referral,4/22/2022,Closed with explanation,TRUE,5424903,Puerto Rico,8156,3386941,14911,20166
2/10/2022,Mortgage,Conventional home mortgage,Closing on a mortgage,,,"BSI Financial Holdings, Inc.",WV,25419,Older American,Web,2/10/2022,Closed with explanation,TRUE,5210699,West Virginia,11305,1829054,67630,44921
3/2/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"BSI Financial Holdings, Inc.",MT,59755,,Web,3/2/2022,Closed with explanation,TRUE,5281101,Montana,215,1041732,38750,52559
3/4/2022,Mortgage,VA mortgage,Trouble during payment process,,,"PENNYMAC LOAN SERVICES, LLC.",IA,52748,"Older American, Servicemember",Web,3/18/2022,Closed with explanation,TRUE,5288767,Iowa,10397,3132499,74931,58580
2/21/2022,Mortgage,VA mortgage,Trouble during payment process,,,"PENNYMAC LOAN SERVICES, LLC.",ID,83616,Servicemember,Web,2/21/2022,Closed with non-monetary relief,TRUE,5244998,Idaho,28275,1687809,82874,53089
5/12/2022,Mortgage,Other type of mortgage,Struggling to pay mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TRUIST FINANCIAL CORPORATION,KS,67067,Older American,Phone,5/12/2022,Closed with explanation,TRUE,5552876,Kansas,1735,2908776,90536,57422
1/21/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TRUIST FINANCIAL CORPORATION,ID,83686,,Web,1/21/2022,Closed with explanation,TRUE,5138038,Idaho,47628,1687809,51429,53089
1/14/2022,Mortgage,Conventional home mortgage,Applying for a mortgage or refinancing an existing mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,TRUIST FINANCIAL CORPORATION,KS,66062,,Referral,1/19/2022,Closed with explanation,TRUE,5124710,Kansas,80489,2908776,94223,57422
2/4/2022,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,,,"CITIZENS FINANCIAL GROUP, INC.",NH,3221,,Referral,2/6/2022,Closed with explanation,TRUE,5191188,New Hampshire,2190,1343622,62831,74057
6/17/2022,Mortgage,Conventional home mortgage,Trouble during payment process,,,"CITIZENS FINANCIAL GROUP, INC.",NE,68522,Servicemember,Web,6/17/2022,Closed with explanation,TRUE,5680886,Nebraska,13359,1904760,67148,59116
1/7/2022,Mortgage,Home equity loan or line of credit (HELOC),Trouble during payment process,,,"CITIZENS FINANCIAL GROUP, INC.",NH,3848,,Web,1/7/2022,Closed with explanation,TRUE,5079072,New Hampshire,6190,1343622,97843,74057
2/4/2022,Mortgage,Conventional home mortgage,Struggling to pay mortgage,,,"TRIAD FINANCIAL SERVICES, INC.",WV,25981,,Web,2/4/2022,Closed with explanation,TRUE,5187957,West Virginia,443,1829054,27927,44921
6/6/2022,Mortgage,FHA mortgage,Struggling to pay mortgage,,,"AmeriHome Mortgage Company, LLC",CT,6611,,Web,6/6/2022,Closed with explanation,TRUE,5639748,Connecticut,36174,3581504,118707,76106
6/6/2022,Mortgage,FHA mortgage,Trouble during payment process,,,Home Point Financial Corporation,IA,50311,,Web,6/6/2022,Closed with explanation,TRUE,5639140,Iowa,15740,3132499,47182,58580
1/12/2022,Mortgage,Conventional home mortgage,Closing on a mortgage,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",KS,67401,,Web,1/12/2022,Closed with explanation,TRUE,5104180,Kansas,51077,2908776,49809,57422
